Bacillus thuringiensis
Bacillus timonensis
Bacillus trypoxylicola
Bacillus tuaregi
Bacillus vietnamensis
Bacillus vireti
Bacillus wakoensis
Bacillus weihaiensis
[Bacillus] clarkii
[Bacillus] selenitireducens
bacterium 2013Arg42i
bacterium 2013Ark19i
bacterium 336/3
bacterium A37T11
bacterium A52C2
bacterium endosymbiont of Mortierella elongata FMR23-6
bacterium endosymbiont of Pedicinus badii
bacterium JKG1
bacterium LF-3
bacterium MS4
Bacteroides barnesiae
Bacteroides caccae
Bacteroides cellulosilyticus
Bacteroides coprocola
Bacteroides coprophilus
Bacteroides coprosuis
Bacteroides faecichinchillae
Bacteroides fluxus
Bacteroides graminisolvens
Bacteroides ihuae
Bacteroides luti
Bacteroides neonati
Bacteroides nordii
Bacteroides ovatus
Bacteroides paurosaccharolyticus
Bacteroides plebeius
Bacteroides propionicifaciens
Bacteroides pyogenes
Bacteroides reticulotermitis
Bacteroides salanitronis
Bacteroides salyersiae
Bacteroides stercoris
Bacteroides uniformis
Bacteroides vulgatus
[Bacteroides] pectinophilus
Balneatrix alpica
Balneola vulgaris
Bariatricus massiliensis
Barnesiella intestinihominis
Barnesiella viscericola
Bartonella alsatica
Bartonella ancashensis
Bartonella apis
Bartonella australis
Bartonella bacilliformis
Bartonella birtlesii
Bartonella bovis
Bartonella clarridgeiae
Bartonella doshiae
Bartonella florencae
Bartonella grahamii
Bartonella henselae
Bartonella koehlerae
Bartonella quintana
Bartonella rattaustraliani
Bartonella rattimassiliensis
Bartonella rochalimae
Bartonella schoenbuchensis
Bartonella senegalensis
Bartonella tamiae
Bartonella taylorii
Bartonella tribocorum
Bartonella vinsonii
Bartonella washoeensis
Basilea psittacipulmonis DSM 24701
Bathymodiolus azoricus thioautotrophic gill symbiont
Bathymodiolus platifrons methanotrophic gill symbiont
Bauldia litoralis
Bavariicoccus seileri
Bdellovibrio bacteriovorus
Bdellovibrio exovorus
Beduini massiliensis
Beggiatoa alba
Beggiatoa leptomitoformis
Beijerinckia indica
Beijerinckia mobilis
Belliella baltica
Belliella pelovolcani
Bellilinea caldifistulae
Belnapia moabensis
Belnapia rosea
Bergeriella denitrificans
Bergeyella zoohelcum
Bermanella marisrubri
Bernardetia litoralis
Beutenbergia cavernae
Bhargavaea cecembensis
Bibersteinia trehalosi
Bifidobacterium actinocoloniiforme
Bifidobacterium adolescentis
Bifidobacterium aesculapii
Bifidobacterium angulatum
Bifidobacterium animalis
Bifidobacterium asteroides
Bifidobacterium biavatii
Bifidobacterium bohemicum
Bifidobacterium bombi
Bifidobacterium breve
Bifidobacterium callitrichos
Bifidobacterium choerinum
Bifidobacterium commune
Bifidobacterium coryneforme
Bifidobacterium crudilactis
Bifidobacterium cuniculi
Bifidobacterium dentium
Bifidobacterium gallicum
Bifidobacterium gallinarum
Bifidobacterium lemurum
Bifidobacterium magnum
Bifidobacterium minimum
Bifidobacterium mongoliense
Bifidobacterium pseudolongum
Bifidobacterium psychraerophilum
Bifidobacterium reuteri
Bifidobacterium saguini
Bifidobacterium scardovii
Bifidobacterium stellenboschense
Bifidobacterium subtile
Bifidobacterium thermophilum
Bifidobacterium tsurumiense
Bilophila wadsworthia
Bittarella massiliensis
Bizionia argentinensis
Bizionia echini
Bizionia paragorgiae
Blastochloris viridis
Blastococcus endophyticus
Blastococcus saxobsidens
Blastopirellula marina
Blattabacterium cuenoti
Blautia hansenii
Blautia hydrogenotrophica
Blautia obeum
Blautia producta
Blautia schinkii
Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus
Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri
Bordetella avium
Bordetella bronchialis
Bordetella genomosp. 13
Bordetella hinzii
Bordetella holmesii
Bordetella petrii
Bordetella trematum
Borrelia anserina
Borrelia coriaceae
Borrelia duttonii
Borrelia hermsii
Borrelia hispanica
Borrelia mayonii
Borrelia miyamotoi
Borrelia persica
Borrelia turicatae
Borreliella afzelii
Borreliella bissettii
Borreliella garinii
Borreliella japonica
Borreliella spielmanii
Borreliella valaisiana
Bosea lupini
Bosea robiniae
Bosea thiooxidans
Bosea vaviloviae
Brachybacterium massiliense
Brachybacterium muris
Brachybacterium nesterenkovii
Brachybacterium paraconglomeratum
Brachybacterium phenoliresistens
Brachybacterium squillarum
Brachymonas chironomi
Brachymonas denitrificans
Brachyspira alvinipulli
Brachyspira hyodysenteriae
Brachyspira murdochii
Brachyspira pilosicoli
Brackiella oedipodis
Bradyrhizobium elkanii
Bradyrhizobium erythrophlei
Bradyrhizobium icense
Bradyrhizobium japonicum
Bradyrhizobium lablabi
Bradyrhizobium neotropicale
Bradyrhizobium oligotrophicum
Bradyrhizobium valentinum
Brenneria goodwinii
Brevefilum fermentans
Brevibacillus agri
Brevibacillus borstelensis
Brevibacillus brevis
Brevibacillus choshinensis
Brevibacillus laterosporus
Brevibacillus massiliensis
Brevibacillus panacihumi
Brevibacillus thermoruber
Brevibacterium album
Brevibacterium aurantiacum
Brevibacterium casei
Brevibacterium linens
Brevibacterium mcbrellneri
Brevibacterium ravenspurgense
Brevibacterium sandarakinum
Brevibacterium senegalense
Brevibacterium yomogidense
Brevinema andersonii
Brevirhabdus pacifica
Brevundimonas abyssalis
Brevundimonas aveniformis
Brevundimonas bacteroides
Brevundimonas naejangsanensis
Brevundimonas subvibrioides
Brevundimonas vesicularis
Brevundimonas viscosa
Brochothrix campestris
Brochothrix thermosphacta
Brucella melitensis
Bryobacter aggregatus
Buchnera aphidicola
Budvicia aquatica
Bulleidia extructa
Burkholderia cepacia
Burkholderia gladioli
Burkholderia ubonensis
Buttiauxella ferragutiae
Butyricicoccus pullicaecorum
Butyricimonas synergistica
Butyrivibrio crossotus
Butyrivibrio fibrisolvens
Butyrivibrio hungatei
Butyrivibrio proteoclasticus
Caballeronia concitans
Caballeronia glathei
Caballeronia glebae
Caballeronia sordidicola
Caballeronia telluris
Caballeronia zhejiangensis
Caecibacter massiliensis
Caedimonas varicaedens
Caenibacillus caldisaponilyticus
Caenispirillum salinarum
Caldalkalibacillus thermarum
Caldanaerobacter subterraneus
Caldanaerobius fijiensis
Caldanaerobius polysaccharolyticus
Caldanaerovirga acetigignens
Calderihabitans maritimus
Caldibacillus debilis
Caldicellulosiruptor bescii
Caldicellulosiruptor naganoensis
Caldicellulosiruptor saccharolyticus
Caldicoprobacter oshimai
Caldilinea aerophila
Caldimicrobium thiodismutans
Caldimonas manganoxidans
Caldisalinibacter kiritimatiensis
Caldisericum exile
Caldisphaera lagunensis
Calditerricola satsumensis
Calditerrivibrio nitroreducens
Caldithrix abyssi
Caldivirga maquilingensis
Caloramator australicus
Caloramator mitchellensis
Caloramator proteoclasticus
Caloramator quimbayensis
Caloranaerobacter ferrireducens
Calothrix rhizosoleniae
Caminibacter mediatlanticus
Campylobacter coli
Campylobacter concisus
Campylobacter corcagiensis
Campylobacter cuniculorum
Campylobacter curvus
Campylobacter fetus
Campylobacter geochelonis
Campylobacter gracilis
Campylobacter helveticus
Campylobacter hepaticus
Campylobacter hominis
Campylobacter hyointestinalis
Campylobacter iguaniorum
Campylobacter insulaenigrae
Campylobacter jejuni
Campylobacter lari
Campylobacter mucosalis
Campylobacter pinnipediorum
Campylobacter showae
Campylobacter sputorum
Campylobacter upsaliensis
Campylobacter ureolyticus
Campylobacter volucris
Candidatus Arsenophonus lipoptenae
Candidatus Coxiella mudrowiae
Candidatus Kinetoplastibacterium blastocrithidii
Candidatus Protochlamydia naegleriophila
Calyptogena okutanii thioautotrophic gill symbiont
Candidimonas bauzanensis
Candidimonas nitroreducens
Capnocytophaga canimorsus
Capnocytophaga canis
Capnocytophaga cynodegmi
Capnocytophaga gingivalis
Capnocytophaga granulosa
Capnocytophaga haemolytica
Capnocytophaga ochracea
Carboxydocella sporoproducens
Carboxydothermus hydrogenoformans
Carboxydothermus pertinax
Cardinium endosymbiont of Bemisia tabaci
Cardinium endosymbiont of Encarsia pergandiella
Cardiobacterium hominis
Cardiobacterium valvarum
Carnimonas nigrificans
Carnobacterium alterfunditum
Carnobacterium divergens
Carnobacterium funditum
Carnobacterium gallinarum
Carnobacterium iners
Carnobacterium inhibens
Carnobacterium jeotgali
Carnobacterium maltaromaticum
Carnobacterium mobile
Carnobacterium pleistocenium
Carnobacterium viridans
Caryophanon latum
Caryophanon tenue
Castellaniella caeni
Castellaniella defragrans
Catabacter hongkongensis
Catalinimonas alkaloidigena
Catellicoccus marimammalium
Catelliglobosispora koreensis
Catenibacterium mitsuokai
Catenovulum agarivorans
Catenovulum maritimum
Catenulispora acidiphila
Catenuloplanes japonicus
Catonella morbi
Caulobacter henricii
Caulobacter segnis
